Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/find-carparks?uuid=e56d5af8-5859-4685-a5a5-d9a9053b457b&n=3,1,0,25551.259500003653,25551.259500003653,25551.259500003653,25551.259500003653,416.0,0.017172365384564917,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,/api/find-carparks?uuid=e7a1196b-aefd-4775-9845-fa6155ae6cd9&n=4,1,0,26602.69839999819,26602.69839999819,26602.69839999819,26602.69839999819,507.0,0.017172365384564917,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/find-carparks?uuid=ebebdf32-07ed-49a1-9a21-327a1f258fb9&n=4,1,0,22170.394400003715,22170.394400003715,22170.394400003715,22170.394400003715,506.0,0.017172365384564917,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,/api/find-carparks?uuid=f1a91a4b-b769-4acd-8fdd-1d9d6a860761&n=4,1,0,40353.02270000102,40353.02270000102,40353.02270000102,40353.02270000102,507.0,0.017172365384564917,0.0,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
GET,/api/find-carparks?uuid=f40b4e14-0075-45d5-9616-7068f60791b6&n=3,1,0,13645.822400001634,13645.822400001634,13645.822400001634,13645.822400001634,415.0,0.017172365384564917,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/find-carparks?uuid=f40cb7e4-0c6b-4b7d-9490-ddd3c46a9533&n=4,1,0,32522.731800003385,32522.731800003385,32522.731800003385,32522.731800003385,507.0,0.017172365384564917,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,/api/find-carparks?uuid=f9217ae3-5f6a-4bc1-b006-d4b92ded6919&n=4,1,0,30449.60789999459,30449.60789999459,30449.60789999459,30449.60789999459,507.0,0.017172365384564917,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,/api/find-carparks?uuid=fb8baf74-6f76-4247-b22a-ded23e01b012&n=1,1,0,29414.2675999974,29414.2675999974,29414.2675999974,29414.2675999974,232.0,0.017172365384564917,0.0,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,/api/find-carparks?uuid=fe9b5356-ab0b-45f1-9d69-26b7af2d9afd&n=1,1,0,27340.447599999607,27340.447599999607,27340.447599999607,27340.447599999607,230.0,0.017172365384564917,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
,Aggregated,60,0,32000,30237.359161666252,11122.257600000012,45870.812000001024,424.48333333333335,1.0303419230738948,0.0,32000,38000,39000,40000,42000,44000,45000,46000,46000,46000,46000
